year,magnitude,fire,harvest,insects,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag,temperature_lag,longitude,latitude
2017, -893,NA,NA,NA, 82.43,78.62,20.93,0,376,1267,5.32,1050,4.94,-6174684,5029607
2015, -708,NA,NA,NA, 85.88,82.57,17.43,0,401, 866,4.30,1135,4.34,-6105187,5117173
2013, -551,NA,NA,NA, 68.88,87.68,12.16,0,297, 998,4.75, 886,6.27,-6039629,5067599
2021,  657,NA,NA,NA, 87.16,88.11,11.56,0,512,1012,5.65,1145,4.10,-6135071,5070147
2010,  440,NA,NA,NA, 70.16,66.11,33.23,0,363, 906,5.92, 938,4.06,-6023644,5086594
2017,-1000,NA,NA,NA, 79.42,61.15,38.61,0,416,1281,5.30,1053,4.90,-6178159,5024511
2016, -785,NA,NA,NA, 64.98,85.02,14.93,0,461, 994,5.36,1043,4.08,-6136229,5022889
2009,  574,NA,NA,NA, 53.10,28.62,70.46,0,326, 899,3.44, 969,4.16,-6013452,5130841
2017,-1073,NA,NA,NA, 68.90,74.46,25.44,0,326,1180,4.70, 918,4.44,-6038470,5087753
2006, 1248,NA,NA,NA, 72.09,76.66,23.31,0,270, 985,5.63, 825,4.22,-6015768,5104432
2007, -490,NA,NA,NA, 62.46,53.11,46.89,0,363, 863,4.19, 867,4.43,-6034764,5092386
2005, -668,NA, 1,NA, 37.93,27.69,61.73,0,325, 791,4.70, 849,3.90,-6046115,5086131
2013, -443,NA,NA,NA, 74.56,88.89,10.80,0,504,1191,3.89,1007,5.37,-6123025,5047445
2021,  850,NA,NA,NA, 72.88,85.87,13.96,0,502,1032,5.70,1160,4.13,-6107736,5049993
2014, 1245,NA,NA,NA, 77.34,55.45,44.35,1,428,1115,3.23,1038,4.98,-6108662,5064355
2013, -926,NA,NA,NA, 67.80,89.67,10.02,0,476,1246,4.15,1038,5.64,-6158005,5043506
2005, 1143,NA, 1,NA, 48.16,68.20,31.76,0,313, 786,4.84, 841,4.03,-6034764,5090533
2009, -498,NA,NA,NA, 68.06,60.57,39.34,0,451,1081,3.83,1045,4.60,-6118855,5031924
2009,  596,NA,NA,NA, 69.28,27.23,71.62,0,301, 893,3.53, 963,4.24,-6012062,5131536
2010,  483,NA,NA,NA, 65.84,34.28,65.69,0,273, 876,6.01, 914,4.14,-6022255,5106517
2014, 1226,NA,NA,NA, 63.16,73.53,26.46,0,329, 968,3.53, 946,5.13,-6032216,5090764
2021,  985,NA,NA,NA, 90.54,86.19,13.81,0,399,1035,6.38,1174,4.85,-6169356,5057406
2018,-1322,NA,NA,NA, 74.96,62.18,37.80,0,296, 918,4.55, 956,4.73,-6025498,5106980
2005,-1240,NA,NA,NA, 42.34,44.63,54.88,0,304, 803,4.46, 853,3.53,-6012062,5131073
2012, -782,NA,NA,NA, 73.14,67.97,32.03,1,455, 897,6.12,1016,4.91,-6119550,5031229
2013, -731,NA,NA,NA, 78.82,93.56, 6.16,1,421,1182,3.70, 991,5.30,-6088045,5108370
2010,-1451,NA,NA,NA, 71.44,88.48,10.86,0,438,1002,5.88,1099,4.30,-6146654,5024742
2018, -332,NA,NA,NA, 71.40,39.72,59.53,0,395, 971,4.50, 998,4.86,-6115380,5114393
2015, -656,NA,NA,NA, 83.10,89.58,10.42,0,458, 913,4.50,1044,4.67,-6133218,5023816
2019,  473,NA,NA,NA, 79.48,44.84,55.08,0,282,1028,3.89,1028,5.23,-6012757,5094702
2009,  367,NA,NA,NA, 69.82,32.37,66.59,0,229, 869,3.92, 936,4.63,-5997467,5132231
2018, -737,NA,NA, 1, 82.04,71.83,27.57,0,454,1133,4.62,1073,4.76,-6107967,5031692
2016, -903,NA,NA,NA, 62.34,28.39,71.45,0,354, 943,5.10, 957,3.90,-6039397,5089606
2006,  845,NA,NA,NA, 62.70,73.82,26.12,0,402,1012,5.61, 896,4.17,-6089203,5040032
2010,-1666,NA, 1,NA, 33.06,47.57,52.31,0,308, 891,5.70, 931,3.87,-6028278,5111613
2013, -744,NA, 1,NA, 80.36,83.78,16.22,0,432,1221,3.75,1011,5.46,-6113295,5116247
2013, -517,NA,NA,NA, 98.34,58.87,40.60,0,191, 956,4.90, 871,6.43,-5985653,5115088
2019,  580,NA,NA,NA, 68.24,24.04,75.79,0,334,1026,3.36,1011,4.72,-6034996,5096324
2014,  304,NA,NA,NA, 57.60,33.80,59.44,0,391,1070,3.02,1012,4.68,-6063953,5103505
2020,-1679,NA,NA,NA, 86.08,83.08,16.85,0,474,1204,5.50,1253,4.31,-6146654,5027290
2010,-1095,NA,NA,NA, 71.54,83.91,16.09,0,492, 971,5.80,1053,4.12,-6104261,5025206
2017,-1042,NA, 1,NA, 80.18,84.60,15.21,0,418,1373,4.90, 980,4.65,-6074377,5036557
2012, -722,NA,NA,NA, 64.11,87.16,12.81,0,468, 888,5.80, 993,4.63,-6092678,5048371
2013, -591,NA,NA,NA, 71.49,11.78,77.44,0,238,1003,4.62, 882,6.16,-6035459,5088679
2016, 1001,NA,NA,NA, 16.26,85.76,14.22,0,416, 929,4.61,1011,3.28,-6043799,5129219
2007, -759,NA,NA,NA, 89.36,80.41,19.60,0,212, 843,4.65, 838,4.97,-5978935,5131073
2010, -558,NA, 1,NA, 68.60,67.03,32.97,0,447, 978,5.70,1057,4.08,-6120014,5032619
2013, -493,NA,NA,NA, 80.32,91.26, 8.48,0,403,1279,4.34,1056,5.94,-6162638,5065282
2010, -640,NA,NA,NA, 70.40,83.76,15.88,0,502,1051,5.41,1130,3.88,-6142716,5051846
2016, -685,NA,NA,NA, 84.06,82.35,17.65,0,410,1000,5.50, 992,4.35,-6073451,5037020
