year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2012,1039.1, 77.36,85.7,14.02,0,513,1029,5.81,1097,4.90,1073,5.40,1104,3.60,47.8,62.1,57.9,63.0,55.8,64.0,65.9,61.0
2008, 942.2, 87.18,57.1,41.50,0,186, 967,5.10, 821,5.40, 960,6.55, 757,5.90,42.2,59.0,21.3,58.0,38.9,62.0,12.4,58.0
2014, 494.3, 38.78,58.2,41.72,0,398,1078,2.81,1114,3.44, 947,5.41, 984,4.54,60.0,59.0,60.6,60.0,37.8,60.0,44.8,60.0
2021, 751.6, 86.48,81.2,18.62,0,438, 995,5.95,1113,5.29,1197,3.29,1057,4.45,44.2,60.0,59.7,60.0,71.2,58.9,52.9,61.0
2012, 969.5, 69.00,63.0,36.65,0,388, 966,6.70,1065,5.80,1027,6.20,1124,4.42,38.2,62.0,52.2,63.0,47.8,63.0,64.8,61.0
2009, 447.7, 74.42,73.0,27.05,0,286, 888,3.79, 987,3.92, 857,4.25, 999,5.32,39.6,58.0,47.3,57.0,28.4,57.0,46.2,60.0
2014,1418.2, 76.90,84.5,15.17,0,493,1261,3.10,1277,3.86,1023,5.86,1092,4.96,80.1,62.0,78.1,62.0,46.7,62.0,57.0,62.9
2015, 556.3, 73.36,66.8,33.19,0,427, 842,3.69,1035,2.72,1091,3.39, 927,5.30,29.6,56.0,55.8,59.0,58.4,59.0,35.8,59.7
2009, 632.6, 66.22,73.5,26.48,0,313, 914,4.00, 998,4.12, 854,4.47, 999,5.60,42.0,59.0,48.3,58.0,27.7,57.0,45.9,61.0
2010, 465.4, 75.84,89.0,10.69,0,465,1048,5.59,1103,3.81,1295,3.95, 984,4.42,51.9,63.0,64.5,61.0,82.0,60.0,43.7,60.0
2018,1322.6, 73.38,69.9,29.95,0,430,1137,4.81,1313,4.83, 989,5.41, 902,4.60,61.1,62.0,81.7,62.0,42.6,59.0,35.8,59.0
2009, 570.6, 74.16,85.0,14.97,0,372, 933,3.85,1017,4.00, 869,4.30,1016,5.41,44.8,59.9,51.1,58.0,30.1,58.0,48.6,62.0
2010, 581.3,103.74,89.8, 9.48,0,268, 881,6.40, 908,4.40, 989,4.50, 841,4.80,30.1,63.0,40.5,59.0,46.4,58.0,25.3,58.0
2012,1141.3, 75.94,77.3,22.66,1,488, 955,5.64,1018,4.75, 999,5.27,1048,3.37,39.3,61.0,49.7,62.0,47.2,62.4,59.2,60.0
2010, 746.3, 80.37,90.4, 9.42,0,278, 884,6.53, 910,4.44, 992,4.60, 846,4.90,30.2,63.0,40.6,60.0,46.5,58.5,25.6,58.0
2015, 639.8, 74.78,69.3,30.69,0,393, 839,4.00, 988,3.15,1044,3.80, 882,5.62,28.5,57.0,50.3,60.0,53.0,60.0,30.0,60.0
2009, 501.6, 48.88,64.6,35.22,0,421,1046,3.90,1146,4.08, 864,4.41,1025,5.51,57.7,60.0,66.1,59.0,30.9,59.0,50.8,62.0
2010,1622.6, 60.36,64.1,35.31,0,316, 883,5.57, 899,3.57,1014,3.70, 870,4.00,32.5,61.0,41.3,58.0,50.7,56.7,30.2,56.0
2010, 603.3, 80.86,85.1,14.72,0,443,1054,5.71,1106,3.92,1304,4.08, 995,4.52,52.2,63.0,64.5,61.0,82.7,60.0,44.6,60.0
2021, 769.5, 81.50,88.0,11.91,0,441,1050,6.23,1183,5.60,1248,3.50,1125,4.66,49.3,61.0,65.9,61.0,75.8,59.0,59.5,62.0
2018, 821.9, 84.22,71.7,28.34,0,458,1147,4.69,1326,4.72, 994,5.30, 908,4.49,62.4,62.0,83.4,62.0,43.6,59.0,36.9,59.0
2006, 845.3, 62.70,73.8,26.12,0,402,1012,5.61, 827,4.91, 874,3.88, 985,3.72,49.2,62.0,25.1,58.0,38.2,60.0,49.3,59.0
2006, 983.7,111.94,78.5,20.97,0,371,1007,5.48, 792,4.83, 789,3.70, 954,3.63,47.6,62.0,20.1,57.2,28.4,59.0,44.7,59.0
2014,1946.4, 73.10,88.1,11.63,0,547,1282,2.93,1299,3.70,1041,5.70,1107,4.80,83.2,62.0,81.3,62.0,49.6,63.0,59.5,63.0
2010, 723.0, 71.76,93.8, 5.87,0,429,1061,5.82,1094,4.03,1318,4.22,1021,4.71,53.0,64.0,63.5,62.0,84.2,61.0,47.3,61.0
2012, 589.7, 71.48,87.2,12.74,0,249, 819,6.80, 946,5.94, 875,6.66, 905,4.60,19.4,61.0,37.5,62.0,28.8,63.0,39.6,60.0
