year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2008, 924, 41.32,27.0,66.23,0,307,1055,3.80, 882,4.15,1013,5.10, 820,4.50,55.1,57.0,31.3,56.0,48.1,60.0,23.0,56.0
2013, 540, 80.48,86.3,13.41,0,401,1278,4.41,1015,6.41,1093,5.46,1059,5.95,76.9,62.0,44.6,63.0,55.6,63.0,52.5,64.0
2011, 571, 64.48,72.2,27.78,0,515,1007,5.01, 989,5.50,1101,3.61,1217,3.80,48.9,63.0,46.1,63.0,64.5,60.0,74.5,60.0
2019, 626, 85.51,66.2,33.57,1,428,1181,3.29,1020,4.40,1185,4.59, 991,5.18,70.4,59.0,49.8,61.0,69.2,62.0,43.8,59.0
2015, 831, 82.52,93.4, 6.64,0,446, 910,4.52,1080,3.52,1129,4.32, 913,6.31,37.0,59.0,60.8,61.0,62.4,62.0,34.0,62.0
2009,1447, 76.64,76.7,23.28,0,432,1053,3.69,1198,3.83, 921,4.24,1065,5.23,58.8,60.0,71.7,59.0,37.0,58.0,55.1,61.5
2014, 578, 80.45,95.6, 4.10,0,441,1265,3.40,1273,4.20,1014,6.20,1090,5.23,79.9,62.0,76.9,62.0,44.8,62.0,55.8,63.0
2015, 740, 77.56,89.4,10.64,0,469, 918,4.50,1084,3.48,1132,4.30, 918,6.21,38.0,59.0,61.5,61.0,62.9,62.0,34.8,62.0
2010, 503, 61.30,66.1,33.85,0,322, 887,5.50, 903,3.49,1027,3.60, 876,3.99,33.2,61.0,41.9,58.0,52.3,56.3,31.0,56.0
2010,1078, 80.96,58.0,41.25,0,451, 960,5.52,1038,3.60,1149,3.79, 880,4.13,42.4,63.0,57.5,60.0,67.0,59.0,33.1,58.0
2006, 871, 46.46,25.3,72.23,0,308,1016,5.14, 818,4.54, 811,3.34, 963,3.34,48.3,60.0,22.8,56.0,31.1,57.0,45.6,57.0
2019, 954, 63.36,29.8,70.09,0,382,1135,3.46,1034,4.63,1256,4.66, 966,5.20,63.3,58.0,49.2,61.0,74.6,61.0,39.4,58.7
2013, 629, 86.16,70.8,28.70,0,232, 981,5.04, 817,6.88, 947,6.06, 871,6.78,43.0,61.0,18.6,61.0,37.1,63.0,27.8,63.0
2013, 494, 93.00,68.8,31.22,0,248, 987,4.40, 848,6.26, 954,5.45, 862,6.20,45.0,60.0,23.9,60.0,39.7,61.0,28.9,63.0
2010,1158, 74.02,86.9,12.71,0,503, 987,5.50,1087,3.60,1206,3.80, 895,4.13,45.8,63.0,63.1,60.0,73.4,59.0,35.4,59.0
2006,1828, 71.08,93.3, 6.63,0,419,1098,5.53, 954,4.90, 980,3.75,1138,3.68,58.9,63.0,39.4,59.0,50.3,61.0,65.9,60.0
2009, 507, 52.90,31.7,68.18,0,271, 899,3.82,1007,4.00, 855,4.30, 993,5.37,40.4,58.0,49.1,57.0,27.6,56.0,45.1,60.0
2015, 474, 82.70,85.7,14.17,0,418, 882,4.31,1240,3.17,1222,3.83,1004,5.93,35.8,59.0,78.7,63.0,73.4,63.0,46.0,63.0
2012, 748, 70.38,41.7,58.14,0,226, 830,6.57, 946,5.77, 861,6.56, 880,4.47,20.8,60.0,37.7,62.0,27.6,63.0,37.1,59.0
2013,1130, 68.02,79.3,20.45,0,493,1175,3.21, 985,5.21,1016,4.33, 976,5.00,68.4,61.0,43.4,61.0,49.7,61.0,46.0,63.0
2017, 266, 72.32,72.7,27.08,0,432,1322,4.82, 984,5.40, 898,4.60,1051,3.60,82.7,62.0,42.1,59.0,35.5,59.0,57.7,61.0
2016, 570, 76.54,63.4,36.55,0,462, 988,4.90, 892,4.00,1134,3.00,1178,3.74,43.5,58.6,35.4,58.0,66.5,60.2,67.6,61.0
2015,1087, 79.08,77.7,22.16,0,393, 948,4.80,1274,3.72,1278,4.50,1008,6.52,40.9,60.0,80.2,62.0,76.5,62.0,43.4,62.1
2015,1435, 80.60,80.2,19.83,0,383, 848,4.32,1175,3.22,1171,3.90, 976,6.00,30.9,58.8,71.1,62.0,67.2,62.0,42.0,62.0
2015, 575, 83.12,86.0,13.78,0,442, 894,4.31,1256,3.20,1239,3.90,1015,6.00,37.3,60.0,80.5,63.0,75.3,63.0,47.2,63.0
2007, 681, 73.12,71.0,28.92,0,346, 888,3.87,1024,4.90, 823,4.30, 815,3.00,32.6,56.0,49.7,60.0,24.0,55.0,32.1,57.0
2015, 727, 66.96,68.7,31.31,0,313, 837,4.50, 966,3.61,1022,4.27, 854,6.10,26.6,57.0,46.8,60.0,49.3,60.0,25.2,60.0
2010,1113, 59.22,88.7,10.99,0,497, 986,5.53,1096,3.70,1213,3.82, 895,4.20,45.5,63.0,63.8,60.0,74.0,59.0,35.1,59.0
2017, 662, 83.42,72.7,27.23,0,460,1179,4.10, 969,4.67, 869,3.80,1069,2.87,68.1,60.0,41.4,58.0,32.6,57.0,59.6,60.0
2013, 772, 72.34,76.1,23.82,0,496,1149,3.40, 952,5.30,1007,4.50, 973,5.10,65.2,60.0,39.3,61.0,48.8,62.0,45.0,62.9
2007,2578,  9.83,28.0,65.02,0,306, 882,4.10,1015,5.10, 821,4.50, 815,3.30,31.4,56.0,48.2,60.0,23.2,56.0,31.5,57.0
2013, 382, 82.57,62.1,37.78,1,449,1144,3.88, 934,5.78,1001,4.90, 983,5.44,64.0,61.0,36.5,61.0,47.5,62.0,44.9,62.0
2013,1913, 76.90,80.4,19.47,0,442,1174,3.60, 972,5.60,1012,4.70, 985,5.32,67.0,60.3,40.7,61.0,48.2,61.0,45.5,62.8
2010, 927, 73.64,72.3,27.38,0,423, 952,5.75,1044,3.85,1148,4.01, 865,4.38,41.0,63.0,57.6,60.0,66.3,59.0,31.1,59.0
2010,1185, 77.26,81.4,18.64,0,497, 971,5.40,1056,3.50,1168,3.63, 886,4.01,44.3,63.0,60.2,60.0,69.6,59.0,34.5,59.0
2010, 355, 65.43,23.7,66.61,0,272, 872,5.98, 891,3.94, 988,4.08, 850,4.40,30.4,62.0,39.6,58.0,47.0,57.0,27.1,57.0
2013, 594, 78.48,82.6,17.42,0,436,1198,3.66, 993,5.69,1021,4.79, 991,5.42,70.0,61.0,43.6,61.8,49.5,62.0,46.8,63.8
2017, 496, 82.98,88.6,11.41,0,468,1332,4.59, 999,5.19, 906,4.36,1064,3.39,84.2,62.0,44.3,59.0,36.7,59.0,59.5,61.0
2020, 865, 68.46,68.5,31.30,0,360, 935,4.80, 966,2.96, 901,4.00,1081,4.20,41.3,58.0,46.6,57.0,35.7,59.0,56.3,59.0
2006, 750, 58.74,37.4,62.60,0,358,1053,5.19, 873,4.59, 889,3.30,1005,3.31,54.2,62.0,31.1,58.0,41.6,60.0,52.0,59.0
2018, 831, 75.82,68.4,31.64,0,294, 875,4.22,1062,4.38, 897,4.90, 813,4.07,31.6,58.0,53.0,58.0,31.7,56.0,24.3,55.0
2013, 637, 74.44,74.1,25.76,0,462,1100,4.24, 888,6.16, 992,5.25, 969,5.75,59.9,62.0,31.7,62.0,46.7,63.0,43.2,63.0
2016, 625, 80.90,72.1,27.95,0,456, 985,5.03, 890,4.23,1034,3.28,1069,3.98,42.8,59.0,35.0,58.0,56.2,61.0,56.8,61.0
2014, 912, 12.83,67.0,32.14,0,321,1007,4.30,1023,5.00, 829,6.91, 950,6.00,51.2,61.8,49.8,62.0,22.4,62.0,39.7,63.0
2017, 850, 77.31,40.8,55.11,0,285,1097,4.56, 907,5.10, 819,4.30, 959,3.40,56.5,59.0,32.3,57.0,24.7,55.4,45.8,59.0
2013, 770, 79.44,86.5,13.31,0,434,1172,3.64, 972,5.60,1009,4.76, 981,5.40,66.7,60.0,40.6,61.0,47.9,61.0,45.0,63.0
