year,magnitude,age,deciduous,conifers,protected,elevation,precipitation,temperature,precipitation_lag1,temperature_lag1,precipitation_lag2,temperature_lag2,precipitation_lag3,temperature_lag3,cmi,rh,cmi_lag1,rh_lag1,cmi_lag2,rh_lag2,cmi_lag3,rh_lag3
2006, -792, 59.48,82.82,16.90,0,515,1126,5.10, 967,4.41, 991,3.30,1153,3.21,63.0,63.0,42.1,58.9,52.8,60.1,68.5,60.0
2018,-1315, 46.00,69.01,30.95,0,352, 894,4.04,1076,4.20, 912,4.74, 824,3.90,34.5,58.0,55.5,59.0,34.2,57.0,26.5,55.0
2016, -307, 65.84,80.91,19.10,0,513,1007,5.00, 914,4.16,1088,3.16,1132,3.94,45.9,59.0,38.4,59.0,62.6,61.0,63.8,62.0
2014, -777, 67.42,51.37,48.62,0,338, 980,3.10,1039,3.70, 893,5.60, 966,4.78,48.6,59.0,51.6,59.0,30.4,59.0,42.1,60.0
2010, -441, 59.42, 9.93,83.34,0,269, 880,5.92, 900,3.90,1005,4.04, 850,4.40,31.0,61.0,40.3,58.0,48.7,57.0,27.0,56.0
2021,  574, 91.64,51.25,47.76,1,406, 941,5.87,1058,5.19,1143,3.20,1014,4.39,38.1,59.0,54.1,59.0,65.4,58.0,48.0,60.0
2013, -705, 79.48,75.33,17.05,0,446,1253,3.82,1020,5.85,1060,4.94,1037,5.54,76.0,62.0,47.0,62.6,53.8,63.0,52.1,64.0
2013,  615, 65.51,49.05,49.53,0,381,1273,4.29,1023,6.30,1077,5.40,1052,5.95,76.7,62.0,45.8,62.8,54.1,63.0,52.1,64.0
2010,  669, 62.12,88.46,11.48,0,492,1064,5.48,1115,3.68,1315,3.81,1005,4.28,54.1,63.0,66.1,61.0,84.6,60.0,46.4,60.0
2008, -737, 90.00,66.97,32.52,0,340,1078,4.65, 846,4.95,1004,6.14, 815,5.45,56.6,59.0,26.9,59.0,46.5,62.8,21.6,58.3
2016, -706, 80.88,81.45,18.55,0,491,1005,5.10, 911,4.23,1089,3.20,1138,4.00,45.3,59.0,37.7,59.0,62.3,61.0,63.9,61.9
2011,  596, 66.56,64.18,35.39,0,360, 984,5.23, 906,5.99, 930,3.90,1014,4.00,43.8,62.0,34.5,63.0,44.2,59.4,50.5,58.0
2008,  372, 53.62,33.80,65.89,0,222, 972,4.09, 846,4.40, 984,5.48, 779,4.88,44.8,57.0,26.4,56.0,43.7,60.0,17.3,56.0
2019, -780, 80.66,77.90,22.09,0,291,1049,3.69, 961,4.88,1184,4.89, 939,5.48,52.5,58.0,40.0,60.0,65.5,61.0,34.9,58.0
2010,  621, 69.00,91.24, 8.55,0,449,1064,5.70,1081,3.90,1314,4.10,1031,4.59,54.3,64.0,63.2,62.0,84.6,62.0,49.4,61.0
2019,-1513, 77.34,46.98,53.01,0,388,1021,3.12, 946,4.29,1155,4.35, 939,4.90,51.8,57.0,40.2,60.0,64.2,60.0,37.0,58.0
2018, -464, 62.79,33.60,65.04,0,262, 900,4.70,1106,4.79, 908,5.30, 820,4.50,33.6,59.0,57.2,60.0,32.1,57.0,24.4,56.0
2010, -724, 75.49,82.37,17.42,0,478, 973,5.51,1066,3.61,1178,3.80, 885,4.17,44.1,63.0,60.7,60.0,70.3,59.0,34.0,59.0
